iter	Passed	Remaining
815	22708	5120
816	22725	5090
817	22752	5062
818	22771	5032
819	22795	5003
820	22816	4974
821	22841	4946
822	22865	4917
823	22886	4888
824	22915	4860
825	22950	4834
826	22978	4806
827	23014	4780
828	23050	4754
829	23092	4729
830	23125	4702
831	23157	4675
832	23191	4649
833	23220	4621
834	23245	4593
835	23272	4565
836	23294	4536
837	23326	4509
838	23351	4481
839	23376	4452
840	23404	4424
841	23428	4396
842	23455	4368
843	23489	4341
844	23519	4314
845	23550	4286
846	23588	4261
847	23624	4234
848	23653	4206
849	23674	4177
850	23700	4149
851	23721	4120
852	23742	4091
853	23768	4063
854	23798	4036
855	23821	4007
856	23847	3979
857	23873	3951
858	23898	3922
859	23922	3894
860	23949	3866
861	23974	3838
862	24001	3810
863	24044	3784
864	24114	3763
865	24174	3740
866	24223	3715
867	24260	3689
868	24296	3662
869	24331	3635
870	24348	3606
871	24377	3578
872	24400	3549
873	24424	3521
874	24448	3492
875	24471	3463
876	24501	3436
877	24525	3407
878	24564	3381
879	24631	3358
880	24671	3332
881	24697	3304
882	24716	3275
883	24736	3246
884	24760	3217
885	24786	3189
886	24819	3161
887	24852	3134
888	24883	3106
889	24918	3079
890	24940	3051
891	24959	3022
892	24978	2992
893	24998	2964
894	25028	2936
895	25051	2907
896	25082	2880
897	25107	2851
898	25126	2822
899	25156	2795
900	25182	2766
901	25212	2739
902	25231	2710
903	25247	2681
904	25265	2652
905	25283	2623
906	25311	2595
907	25338	2567
908	25362	2539
909	25389	2511
910	25414	2482
911	25439	2454
912	25456	2425
913	25474	2396
914	25497	2368
915	25516	2339
916	25535	2311
917	25553	2282
918	25575	2254
919	25601	2226
920	25634	2198
921	25665	2171
922	25700	2144
923	25731	2116
924	25755	2088
925	25775	2059
926	25793	2031
927	25811	2002
928	25830	1974
929	25853	1945
930	25872	1917
931	25887	1888
932	25909	1860
933	25939	1832
934	25964	1805
935	25995	1777
936	26038	1750
937	26074	1723
938	26093	1695
939	26117	1667
940	26140	1639
941	26158	1610
942	26188	1582
943	26210	1554
944	26236	1527
945	26271	1499
946	26306	1472
947	26348	1445
948	26420	1419
949	26544	1397
950	26600	1370
951	26637	1343
952	26701	1316
953	26754	1290
954	26799	1262
955	26831	1234
956	26861	1206
957	26889	1178
958	26913	1150
959	26938	1122
960	26965	1094
961	26985	1065
962	27009	1037
963	27037	1009
964	27072	981
965	27109	954
966	27146	926
967	27186	898
968	27218	870
969	27249	842
970	27332	816
971	27365	788
972	27390	760
973	27406	731
974	27435	703
975	27465	675
976	27498	647
977	27535	619
978	27578	591
979	27615	563
980	27644	535
981	27665	507
982	27692	478
983	27716	450
984	27764	422
985	27796	394
986	27830	366
987	27863	338
988	27891	310
989	27911	281
990	27931	253
991	27961	225
992	28002	197
993	28029	169
994	28063	141
995	28094	112
996	28117	84
997	28144	56
998	28175	28
999	28247	0
